NK011766.CDS.3	1433B_HUMAN
GW334915.CDS.2	COA7_HUMAN
IY469802.CDS.2	COA8_HUMAN
BE11771197.CDS.1	COAA1_HUMAN
DH69819717.CDS.2	COAC_HUMAN
QB752145.CDS.1	COAS1_HUMAN
XF982614.CDS.3	COASY_HUMAN
G30116.CDS.1	COBA1_HUMAN
UH45014070.CDS.1	COBA2_HUMAN
W11849.CDS.3	COBL1_HUMAN
OP106154.CDS.2	COBL_HUMAN
KC196164.CDS.2	COCA1_HUMAN
IJ72406949.CDS.1	COCH_HUMAN
X98790.CDS.3	CODA1_HUMAN
OQ716792.CDS.1	COE1_HUMAN
SS31701250.CDS.3	COE2_HUMAN
GM68800264.CDS.1	COE3_HUMAN
AG45598983.CDS.1	COE4_HUMAN
EW210043.CDS.1	COEA1_HUMAN
YL515041.CDS.1	COF1_HUMAN
PM779159.CDS.2	COF2_HUMAN
R86209.CDS.1	COFA1_HUMAN
CR09188832.CDS.2	COG1_HUMAN
GL527185.CDS.1	COG2_HUMAN
U83078.CDS.1	COG3_HUMAN
YY71931028.CDS.2	COG4_HUMAN
FM34568289.CDS.3	COG5_HUMAN
UX863768.CDS.2	COG6_HUMAN
U19424	COG7_HUMAN
B71467.CDS.1	COG8_HUMAN
AB07705737.CDS.1	COGA1_HUMAN
BM929515.CDS.1	COHA1_HUMAN
K55300.CDS.1	COIA1_HUMAN
I45068.CDS.1	COIL_HUMAN
EQ80292663.CDS.1	COJA1_HUMAN
GF24535123.CDS.1	COKA1_HUMAN
HX77070144	COL10_HUMAN
YK62264205.CDS.1	COL11_HUMAN
IK758907.CDS.1	COL12_HUMAN
AM80613853.CDS.1	COLA1_HUMAN
QH88280590.CDS.1	COLC1_HUMAN
ZR31766932	COLC2_HUMAN
UL96795328.CDS.1	COLI_HUMAN
QS08216413.CDS.1	COLL1_HUMAN
IW05168923.CDS.1	COLL2_HUMAN
W06433.CDS.1	COLQ_HUMAN
SQ045303.CDS.3	COL_HUMAN
JM93837921.CDS.1	COMA1_HUMAN
R48130.CDS.2	COMD1_HUMAN
TP239362.CDS.1	COMD2_HUMAN
B27788.CDS.2	COMD3_HUMAN
BC19717954.CDS.1	COMD4_HUMAN
MG85962622.CDS.3	COMD5_HUMAN
GU28219747.CDS.1	COMD6_HUMAN
BJ79680724.CDS.1	COMD7_HUMAN
EC687865.CDS.2	COMD8_HUMAN
T10925	COMD9_HUMAN
FD04567321.CDS.1	COMDA_HUMAN
S16682	COMP_HUMAN
I87595.CDS.2	COMT_HUMAN
UW95091442.CDS.1	CONA1_HUMAN
G74813	COOA1_HUMAN
HA280428.CDS.1	COP1_HUMAN
EJ32775526	COPA1_HUMAN
HP125585.CDS.1	COPA_HUMAN
BM34367163.CDS.1	COPB2_HUMAN
UG291266.CDS.1	COPB_HUMAN
II63351412.CDS.1	COPD_HUMAN
IE739955.CDS.1	COPE_HUMAN
Q08089.CDS.1	COPG1_HUMAN
F54390	COPG2_HUMAN
CK943580.CDS.1	COPRS_HUMAN
E05205.CDS.1	COPT1_HUMAN
MH47346327.CDS.1	COPT2_HUMAN
FE417924.CDS.2	COPZ1_HUMAN
B70176.CDS.2	COPZ2_HUMAN
ER136495.CDS.1	COQ2_HUMAN
GK14260057.CDS.1	COQ3_HUMAN
AX24495698.CDS.1	COQ4_HUMAN
AK57694401	COQ5_HUMAN
UG228260.CDS.1	COQ6_HUMAN
X13323.CDS.1	COQ7_HUMAN
TH081701.CDS.3	COQ8A_HUMAN
WB393485.CDS.1	COQ8B_HUMAN
LX871320.CDS.1	COQ9_HUMAN
RS505524.CDS.2	COQA1_HUMAN
EJ40618232.CDS.2	COR1A_HUMAN
XE66596766.CDS.2	COR1B_HUMAN
Z51723.CDS.1	COR1C_HUMAN
NX78102430.CDS.3	COR2A_HUMAN
A58135.CDS.1	COR2B_HUMAN
YG701109.CDS.3	CORA1_HUMAN
DE790442.CDS.1	CORIN_HUMAN
FW15622581.CDS.2	CORO6_HUMAN
KD68305610.CDS.1	CORO7_HUMAN
GW858901	CORT_HUMAN
O71139.CDS.1	COSA1_HUMAN
CK26374626.CDS.3	COT1_HUMAN
NT944896.CDS.3	COT2_HUMAN
IH052655.CDS.1	COTL1_HUMAN
KJ944620.CDS.1	COX10_HUMAN
WP310367.CDS.1	COX11_HUMAN
SS123008.CDS.1	COX14_HUMAN
KX976806.CDS.1	COX15_HUMAN
NJ540062.CDS.2	COX16_HUMAN
BE92493265.CDS.1	COX17_HUMAN
MP87236707.CDS.3	COX18_HUMAN
MA978791.CDS.3	COX19_HUMAN
UY28859354.CDS.2	COX1_HUMAN
HE025995.CDS.1	COX20_HUMAN
XR29376645.CDS.1	COX2_HUMAN
PJ24124556.CDS.1	COX3_HUMAN
MX60989661.CDS.1	COX41_HUMAN
YT29319403.CDS.3	COX42_HUMAN
R58728.CDS.1	COX5A_HUMAN
W36761.CDS.2	COX5B_HUMAN
RS46317981.CDS.3	COX6C_HUMAN
BJ79673936.CDS.2	COX7B_HUMAN
QX64451094	COX7C_HUMAN
WL044822.CDS.1	COX7R_HUMAN
Y07734.CDS.2	COX7S_HUMAN
P18960.CDS.3	COX8A_HUMAN
DI481905.CDS.1	COX8C_HUMAN
RI975858.CDS.1	COXM1_HUMAN
GB037832.CDS.1	COXM2_HUMAN
KL142472.CDS.2	CP046_HUMAN
CA67205324.CDS.1	CP047_HUMAN
BE466025.CDS.1	CP054_HUMAN
AJ48857796.CDS.2	CP070_HUMAN
Q37799	CP071_HUMAN
II942547	CP072_HUMAN
UM37009452.CDS.1	CP074_HUMAN
EK493396.CDS.1	CP078_HUMAN
FQ928614.CDS.1	CP081_HUMAN
RH90490588.CDS.1	CP086_HUMAN
A41978.CDS.2	CP087_HUMAN
YW97220772.CDS.1	CP089_HUMAN
T78417.CDS.1	CP090_HUMAN
WG660956.CDS.1	CP092_HUMAN
FC556103.CDS.2	CP095_HUMAN
RH60452553.CDS.2	CP096_HUMAN
CU626814.CDS.2	CP097_HUMAN
NR171360.CDS.1	CP100_HUMAN
FM70202894.CDS.2	CP110_HUMAN
Q09111.CDS.2	CP11A_HUMAN
E02638.CDS.2	CP131_HUMAN
D75120.CDS.2	CP135_HUMAN
IU02336107.CDS.1	CP17A_HUMAN
E64054.CDS.2	CP19A_HUMAN
SM24006385.CDS.2	CP1A1_HUMAN
Z02902.CDS.3	CP1A2_HUMAN
JR44279291.CDS.2	CP1B1_HUMAN
KS65541220.CDS.1	CP20A_HUMAN
YQ366356.CDS.1	CP21A_HUMAN
P72864.CDS.1	CP24A_HUMAN
LA02834180.CDS.2	CP250_HUMAN
QY660793.CDS.3	CP26A_HUMAN
L39647.CDS.1	CP26B_HUMAN
EU504351.CDS.1	CP26C_HUMAN
P83535.CDS.1	CP27A_HUMAN
KB236749.CDS.1	CP27B_HUMAN
I82953.CDS.3	CP2A6_HUMAN
X03917.CDS.1	CP2A7_HUMAN
OJ39790492.CDS.1	CP2AD_HUMAN
MQ16108442.CDS.1	CP2B6_HUMAN
R00815.CDS.1	CP2C8_HUMAN
EO595231.CDS.2	CP2C9_HUMAN
GF51267980.CDS.2	CP2CI_HUMAN
IR196681.CDS.2	CP2CJ_HUMAN
PH514966.CDS.3	CP2D6_HUMAN
RC457303.CDS.1	CP2D7_HUMAN
MK22460850.CDS.1	CP2E1_HUMAN
XD20601485.CDS.1	CP2F1_HUMAN
AU47978366.CDS.2	CP2J2_HUMAN
KB575622.CDS.1	CP2R1_HUMAN
EF46620685.CDS.1	CP2S1_HUMAN
NW044292.CDS.1	CP2U1_HUMAN
LD75651193.CDS.1	CP2W1_HUMAN
OA625230.CDS.1	CP343_HUMAN
TH476705.CDS.1	CP39A_HUMAN
B83703.CDS.1	CP3A4_HUMAN
WH75725158.CDS.1	CP3A5_HUMAN
HO786430.CDS.1	CP3A7_HUMAN
EB33051206.CDS.1	CP46A_HUMAN
DB274768.CDS.1	CP4AB_HUMAN
TQ79342238.CDS.1	CP4AM_HUMAN
UG50019430.CDS.1	CP4B1_HUMAN
U63435.CDS.1	CP4F2_HUMAN
EN19040706.CDS.1	CP4F3_HUMAN
QB195575.CDS.1	CP4F8_HUMAN
LY625477.CDS.1	CP4FB_HUMAN
JF122317.CDS.1	CP4FC_HUMAN
JC32992146.CDS.2	CP4FN_HUMAN
QC169902.CDS.2	CP4V2_HUMAN
GK316945.CDS.1	CP4X1_HUMAN
JE128079.CDS.2	CP4Z1_HUMAN
OC44070674	CP4Z2_HUMAN
A52664.CDS.1	CP51A_HUMAN
NL732364.CDS.1	CP7A1_HUMAN
ZQ674879.CDS.2	CP7B1_HUMAN
AD45531829.CDS.2	CP8B1_HUMAN
B57160.CDS.1	CPEB1_HUMAN
AI946794.CDS.1	CPEB2_HUMAN
PW122388.CDS.1	CPEB3_HUMAN
LZ720981.CDS.3	CPEB4_HUMAN
FK70865453.CDS.1	CPED1_HUMAN
S91511.CDS.2	CPHXL_HUMAN
YN870364.CDS.1	CPIN1_HUMAN
EZ071593.CDS.1	CPLN1_HUMAN
ZJ84529447.CDS.2	CPLN2_HUMAN
FC95599523.CDS.1	CPLX1_HUMAN
WL948682.CDS.1	CPLX2_HUMAN
LW10429243.CDS.1	CPLX3_HUMAN
HM285568.CDS.2	CPLX4_HUMAN
KJ774752.CDS.2	CPMD8_HUMAN
W56040.CDS.1	CPN2_HUMAN
LM21181579.CDS.1	CPNE1_HUMAN
CL609869.CDS.1	CPNE2_HUMAN
UW520708.CDS.1	CPNE3_HUMAN
WN021066.CDS.3	CPNE4_HUMAN
HS77703033.CDS.2	CPNE5_HUMAN
MK245130.CDS.2	CPNE6_HUMAN
IB72696150.CDS.2	CPNE7_HUMAN
FZ39237236.CDS.2	CPNE8_HUMAN
RH24460010.CDS.3	CPNE9_HUMAN
ZK133974.CDS.2	CPNS1_HUMAN
DC743488.CDS.1	CPNS2_HUMAN
YZ14699615.CDS.3	CPPED_HUMAN
UB49300095.CDS.3	CPS4L_HUMAN
EN745210.CDS.1	CPSF1_HUMAN
EF65387795	CPSF2_HUMAN
SJ56841384.CDS.1	CPSF3_HUMAN
I76999.CDS.1	CPSF4_HUMAN
JD609317.CDS.1	CPSF5_HUMAN
B73607.CDS.1	CPSF6_HUMAN
XM22750795.CDS.1	CPSF7_HUMAN
OR018360.CDS.3	CPSM_HUMAN
WB519963	CPT1A_HUMAN
C88083.CDS.1	CPT1B_HUMAN
WL61775995.CDS.2	CPT1C_HUMAN
OX16967947.CDS.2	CPT2_HUMAN
KO61719494.CDS.1	CPTP_HUMAN
YC09856783.CDS.1	CPVL_HUMAN
CT39275577.CDS.3	CPXCR_HUMAN
R32316.CDS.1	CPXM1_HUMAN
OY972873.CDS.1	CPXM2_HUMAN
JC49753566.CDS.1	CPZIP_HUMAN
L42758.CDS.2	CQ047_HUMAN
ZA63756902.CDS.1	CQ050_HUMAN
DZ755713.CDS.1	CQ051_HUMAN
F09935.CDS.1	CQ053_HUMAN
ZI011157.CDS.1	CQ054_HUMAN
FP81045990.CDS.1	CQ055_HUMAN
IE67435953.CDS.1	CQ058_HUMAN
FI609807.CDS.1	CQ064_HUMAN
DI143005.CDS.2	CQ067_HUMAN
TB643436.CDS.1	CQ077_HUMAN
CT92556190.CDS.1	CQ078_HUMAN
K35089.CDS.1	CQ080_HUMAN
LT20009108.CDS.1	CQ082_HUMAN
MZ54872704.CDS.1	CQ091_HUMAN
N52756.CDS.2	CQ098_HUMAN
FA183088.CDS.3	CQ100_HUMAN
ZO489378.CDS.2	CQ102_HUMAN
IG888172.CDS.1	CQ107_HUMAN
YQ13677136.CDS.1	CQ10A_HUMAN
JE431468.CDS.1	CQ10B_HUMAN
PD94395794.CDS.1	CQ112_HUMAN
LU555733.CDS.2	CQ113_HUMAN
N02076.CDS.2	CR002_HUMAN
YF39801243.CDS.1	CR012_HUMAN
RR58538080.CDS.1	CR015_HUMAN
TE35187858.CDS.1	CR018_HUMAN
QE063687	CR020_HUMAN
O44412.CDS.1	CR021_HUMAN
SR107515	CR025_HUMAN
JD22079958.CDS.1	CR032_HUMAN
YP64389297.CDS.1	CR063_HUMAN
TH20776461.CDS.1	CR064_HUMAN
QF050511.CDS.1	CR065_HUMAN
ZN04840149.CDS.3	CR1L_HUMAN
KA53678943.CDS.1	CR1_HUMAN
MF620370.CDS.1	CR2_HUMAN
BE96322647.CDS.1	CR3L1_HUMAN
DO83587542.CDS.1	CR3L2_HUMAN
KM20778454.CDS.1	CR3L3_HUMAN
ZG47199028.CDS.1	CR3L4_HUMAN
JL508573.CDS.1	CRAC1_HUMAN
J27984.CDS.1	CRADD_HUMAN
YD646625	CRAD_HUMAN
KW30747699.CDS.1	CRAS1_HUMAN
LB74065458.CDS.1	CRBA1_HUMAN
HA715758.CDS.1	CRBA2_HUMAN
E87240.CDS.2	CRBA4_HUMAN
SQ589440.CDS.1	CRBB1_HUMAN
FO14902406.CDS.1	CRBB2_HUMAN
ON326218.CDS.2	CRBB3_HUMAN
JO400263.CDS.2	CRBG1_HUMAN
JD45700125.CDS.1	CRBG2_HUMAN
C70207	CRBG3_HUMAN
BI346852.CDS.2	CRBL2_HUMAN
LP05404130.CDS.1	CRBN_HUMAN
RU85632765.CDS.2	CRCC2_HUMAN
P77071.CDS.1	CRCM1_HUMAN
JW665977.CDS.1	CRCM_HUMAN
HT979524.CDS.2	CRCT1_HUMAN
WQ22981420.CDS.1	CRDL1_HUMAN
SP40055309	CRDL2_HUMAN
D30302.CDS.1	CREB1_HUMAN
DP27479922.CDS.2	CREB3_HUMAN
EP026941	CREB5_HUMAN
G91963.CDS.3	CREG1_HUMAN
AL294536.CDS.1	CREG2_HUMAN
JZ20788181.CDS.1	CREL1_HUMAN
AA239496.CDS.1	CREL2_HUMAN
NX557192.CDS.2	CREM_HUMAN
W60232.CDS.3	CRERF_HUMAN
WY040165.CDS.1	CREST_HUMAN
KB587917.CDS.1	CRFM7_HUMAN
BU283830.CDS.1	CRFR1_HUMAN
SI399089.CDS.1	CRFR2_HUMAN
OM680490.CDS.2	CRF_HUMAN
CJ73922007.CDS.1	CRGA_HUMAN
TK49862085.CDS.2	CRGB_HUMAN
L82650	CRGC_HUMAN
SA07145317.CDS.2	CRGD_HUMAN
GA902629.CDS.1	CRGN_HUMAN
MM196449.CDS.3	CRHBP_HUMAN
WA797748.CDS.3	CRIM1_HUMAN
FW03340441.CDS.1	CRIP1_HUMAN
AT637426.CDS.2	CRIP2_HUMAN
G31607.CDS.1	CRIP3_HUMAN
AQ50945457.CDS.1	CRIPT_HUMAN
AB01250473.CDS.1	CRIS1_HUMAN
IG13860300.CDS.3	CRIS2_HUMAN
KC967633.CDS.1	CRIS3_HUMAN
DU967943	CRKL_HUMAN
DT92822876.CDS.1	CRK_HUMAN
MC074244.CDS.1	CRLD1_HUMAN
LU54109734.CDS.1	CRLD2_HUMAN
KU86714291.CDS.1	CRLF1_HUMAN
OD48259706.CDS.3	CRLF2_HUMAN
JY093950.CDS.2	CRLF3_HUMAN
S04377.CDS.2	CRLS1_HUMAN
I50010.CDS.1	CRML_HUMAN
ES493706.CDS.3	CRNL1_HUMAN
RX77920531.CDS.1	CRNN_HUMAN
YA963521.CDS.1	CRNS1_HUMAN
L65334.CDS.1	CROC4_HUMAN
R39690.CDS.1	CROCC_HUMAN
ME17432726.CDS.1	CROL1_HUMAN
ZN333880.CDS.1	CROL2_HUMAN
GC027271.CDS.2	CRPAK_HUMAN
ZR604467.CDS.1	CRP_HUMAN
LX22759566.CDS.1	CRSPL_HUMAN
ZE60269714.CDS.1	CRTAM_HUMAN
F69519.CDS.1	CRTAP_HUMAN
OZ43433708.CDS.2	CRTC1_HUMAN
J37410.CDS.2	CRTC2_HUMAN
M01083.CDS.1	CRTC3_HUMAN
MO678804.CDS.2	CRTP1_HUMAN
TI939003.CDS.2	CRUM1_HUMAN
GA89214233.CDS.1	CRUM2_HUMAN
SK67593173.CDS.1	CRUM3_HUMAN
U92906.CDS.1	CRX_HUMAN
GI79874095	CRY1_HUMAN
HF764175.CDS.2	CRY2_HUMAN
LQ10821005.CDS.1	CRYA2_HUMAN
I88316.CDS.3	CRYAA_HUMAN
YG93470260.CDS.1	CRYAB_HUMAN
GD84445644.CDS.1	CRYGS_HUMAN
QE974475.CDS.2	CRYL1_HUMAN
RW90401495.CDS.2	CRYM_HUMAN
MD01626392.CDS.1	CS012_HUMAN
QE043467.CDS.1	CS018_HUMAN
L84733	CS025_HUMAN
YH03556236.CDS.1	CS044_HUMAN
B14245	CS047_HUMAN
G88006.CDS.1	CS048_HUMAN
PS177252.CDS.1	CS054_HUMAN
QB77834405.CDS.1	CS057_HUMAN
W04711.CDS.1	CS067_HUMAN
C72913	CS071_HUMAN
RD83845260.CDS.1	CS073_HUMAN
A91045.CDS.2	CS081_HUMAN
ON69031852.CDS.1	CS082_HUMAN
R87397.CDS.1	CS084_HUMAN
PR892133.CDS.1	CS085_HUMAN
UT78958193.CDS.1	CS2IP_HUMAN
HE73755310.CDS.1	CSAD_HUMAN
H07819.CDS.3	CSAG1_HUMAN
JR98185413.CDS.1	CSAG2_HUMAN
MW14671956.CDS.1	CSAS1_HUMAN
Z67861.CDS.2	CSC10_HUMAN
LU695179.CDS.1	CSC1_HUMAN
WO33725280	CSC2A_HUMAN
WR175005.CDS.1	CSCL1_HUMAN
PF213685.CDS.1	CSCL2_HUMAN
QG441129.CDS.1	CSDC2_HUMAN
J57461.CDS.1	CSDE1_HUMAN
LW172246.CDS.1	CSEN_HUMAN
WR610683.CDS.3	CSF1R_HUMAN
HC27172146	CSF1_HUMAN
YJ02863475.CDS.1	CSF2R_HUMAN
PZ237824.CDS.1	CSF2_HUMAN
R56135	CSF3R_HUMAN
QN160681.CDS.2	CSF3_HUMAN
PS732884.CDS.1	CSH1_HUMAN
Y85463.CDS.2	CSH2_HUMAN
PJ90420186.CDS.1	CSHL_HUMAN
IC511749.CDS.1	CSK21_HUMAN
W56932	CSK22_HUMAN
N50401.CDS.2	CSK23_HUMAN
CZ10779603.CDS.1	CSK2B_HUMAN
CU149306.CDS.1	CSKI1_HUMAN
UW123378.CDS.1	CSKI2_HUMAN
GF31210694.CDS.2	CSKMT_HUMAN
UY75627850.CDS.2	CSKP_HUMAN
PZ178656.CDS.2	CSK_HUMAN
MZ30262997.CDS.1	CSMD1_HUMAN
TC213019.CDS.2	CSMD2_HUMAN
C40569.CDS.2	CSMD3_HUMAN
LB82618392.CDS.2	CSMT1_HUMAN
UZ57542205.CDS.1	CSN1_HUMAN
P72699.CDS.1	CSN2_HUMAN
NB07442780.CDS.1	CSN3_HUMAN
XT760599.CDS.1	CSN4_HUMAN
JT01288426	CSN5_HUMAN
TK313364.CDS.2	CSN6_HUMAN
ZW896812.CDS.2	CSN7A_HUMAN
XY462688.CDS.3	CSN7B_HUMAN
EJ31344644.CDS.1	CSN8_HUMAN
IS15713544.CDS.1	CSN9_HUMAN
RW25908281.CDS.3	CSPG2_HUMAN
FY72228062.CDS.1	CSPG4_HUMAN
MJ18475076.CDS.2	CSPG5_HUMAN
P18400	CSPP1_HUMAN
I79407.CDS.1	CSR2B_HUMAN
JC49587698.CDS.1	CSRN1_HUMAN
GW84914054.CDS.1	CSRN2_HUMAN
GH52161860.CDS.1	CSRN3_HUMAN
XS26640862.CDS.1	CSRP1_HUMAN
PD456802.CDS.1	CSRP2_HUMAN
KC65533326.CDS.1	CSRP3_HUMAN
GH99620649.CDS.2	CST11_HUMAN
QU884908.CDS.2	CST8_HUMAN
KL693002.CDS.2	CST9L_HUMAN
GS769454.CDS.3	CST9P_HUMAN
ES17237503.CDS.1	CST9_HUMAN
KB578605.CDS.1	CSTF1_HUMAN
W05210	CSTF2_HUMAN
A15392.CDS.1	CSTF3_HUMAN
EF82086760.CDS.1	CSTFT_HUMAN
MR76426806.CDS.1	CSTL1_HUMAN
JE471718.CDS.1	CSTN1_HUMAN
ON72708427.CDS.1	CSTN2_HUMAN
JD698465.CDS.2	CSTN3_HUMAN
CD26957399.CDS.1	CSTOS_HUMAN
LO460121.CDS.1	CT027_HUMAN
ZQ306167.CDS.3	CT078_HUMAN
XF89708762.CDS.1	CT085_HUMAN
CX80145788.CDS.1	CT096_HUMAN
BS62403207.CDS.1	CT141_HUMAN
HY051790.CDS.1	CT144_HUMAN
N17262.CDS.1	CT173_HUMAN
A09008.CDS.1	CT187_HUMAN
SQ75919640.CDS.2	CT18_HUMAN
QU084964.CDS.1	CT191_HUMAN
BB448817.CDS.2	CT194_HUMAN
GN756370.CDS.1	CT197_HUMAN
ZH850591.CDS.1	CT202_HUMAN
B29181.CDS.2	CT203_HUMAN
EO279935.CDS.1	CT204_HUMAN
B63602.CDS.1	CT2NL_HUMAN
KH80437936.CDS.1	CT451_HUMAN
IL96171967	CT452_HUMAN
OJ838472.CDS.3	CT453_HUMAN
G74919.CDS.2	CT455_HUMAN
AO444493.CDS.3	CT456_HUMAN
AF504120.CDS.1	CT457_HUMAN
EY98187641.CDS.1	CT458_HUMAN
K83566.CDS.1	CT459_HUMAN
O96009.CDS.2	CT45A_HUMAN
P98815	CT47A_HUMAN
OL48992179.CDS.1	CT47B_HUMAN
BG417266.CDS.2	CT55_HUMAN
RB096265.CDS.1	CT62_HUMAN
LW914003.CDS.2	CTAG2_HUMAN
MO39788379.CDS.1	CTBL1_HUMAN
PS45789991.CDS.2	CTBP1_HUMAN
CZ903620.CDS.1	CTBP2_HUMAN
MA97171922.CDS.1	CTC1_HUMAN
Z25066.CDS.1	CTCFL_HUMAN
BH441058.CDS.2	CTCF_HUMAN
DN802229.CDS.1	CTDP1_HUMAN
R17645.CDS.2	CTDS1_HUMAN
W42846.CDS.1	CTDS2_HUMAN
P07694.CDS.1	CTDSL_HUMAN
ZW25975912.CDS.1	CTF18_HUMAN
AB972479.CDS.1	CTF1_HUMAN
AR808567.CDS.1	CTF8_HUMAN
S45208.CDS.1	CTG1B_HUMAN
EW170176.CDS.2	CTGE1_HUMAN
TO161149.CDS.2	CTGE2_HUMAN
XX874435.CDS.1	CTGE3_HUMAN
PB347530.CDS.1	CTGE4_HUMAN
NO620510.CDS.1	CTGE6_HUMAN
MI950975.CDS.1	CTGE8_HUMAN
FZ62641393.CDS.1	CTGE9_HUMAN
YF785991.CDS.1	CTGEF_HUMAN
KM330584	CTHR1_HUMAN
AF11811697.CDS.3	CTIF_HUMAN
O13011.CDS.3	CTIP_HUMAN
LZ94192204.CDS.3	CTL1_HUMAN
ZI091469.CDS.1	CTL2_HUMAN
ZF440714	CTL3_HUMAN
QU963486.CDS.1	CTL4_HUMAN
GQ67069743.CDS.2	CTL5_HUMAN
P54742.CDS.2	CTLA4_HUMAN
DO351552.CDS.1	CTNA1_HUMAN
EE834224	CTNA2_HUMAN
QC820795.CDS.1	CTNA3_HUMAN
PP713506.CDS.2	CTNB1_HUMAN
CJ810382.CDS.1	CTND1_HUMAN
LG04620014.CDS.1	CTND2_HUMAN
UG71791845.CDS.3	CTNL1_HUMAN
U78849.CDS.2	CTNS_HUMAN
WF25642226.CDS.1	CTR1_HUMAN
NI818740.CDS.2	CTR2_HUMAN
F52575.CDS.1	CTR3_HUMAN
P25744.CDS.1	CTR4_HUMAN
F91740.CDS.1	CTR9_HUMAN
TO219739.CDS.1	CTRB1_HUMAN
MM61847837.CDS.1	CTRB2_HUMAN
BX805895.CDS.1	CTRC_HUMAN
LI058658	CTRL_HUMAN
X96589.CDS.2	CTRO_HUMAN
KI066117.CDS.2	CTSL2_HUMAN
FJ80795074.CDS.1	CTSR1_HUMAN
LR33531394.CDS.1	CTSR2_HUMAN
NQ770749.CDS.3	CTSR3_HUMAN
AA39395873.CDS.2	CTSR4_HUMAN
TN930738.CDS.1	CTSRB_HUMAN
HC19043316.CDS.1	CTSRD_HUMAN
BA844647.CDS.1	CTSRE_HUMAN
N10596	CTSRG_HUMAN
GE029832.CDS.1	CTSRZ_HUMAN
FS443202.CDS.2	CTTB2_HUMAN
RQ51060939.CDS.1	CTU1_HUMAN
KK17089194.CDS.2	CTU2_HUMAN
TC227450.CDS.3	CTXD1_HUMAN
HH02332440.CDS.1	CTXD2_HUMAN
L83127.CDS.1	CTXN1_HUMAN
TG364428.CDS.1	CTXN2_HUMAN
BM95080258.CDS.1	CTXN3_HUMAN
AE24218686.CDS.1	CU024_HUMAN
AT59716712.CDS.2	CU037_HUMAN
J78005.CDS.1	CU042_HUMAN
D01530.CDS.2	CU054_HUMAN
KB15201384.CDS.3	CU058_HUMAN
Z29679.CDS.3	CU062_HUMAN
BR689010.CDS.1	CU067_HUMAN
D98732.CDS.2	CU074_HUMAN
GJ00951628.CDS.2	CU077_HUMAN
GR082879.CDS.1	CU082_HUMAN
WR985884.CDS.1	CU084_HUMAN
GW232157.CDS.1	CU093_HUMAN
E62674.CDS.1	CU104_HUMAN
DS54817813.CDS.2	CU129_HUMAN
GM81309261.CDS.1	CU136_HUMAN
CZ360370.CDS.1	CUBN_HUMAN
K47501.CDS.3	CUED1_HUMAN
CC33141647.CDS.1	CUED2_HUMAN
FE197711.CDS.1	CUL1_HUMAN
U11062.CDS.1	CUL2_HUMAN
RK45754596.CDS.2	CUL3_HUMAN
TL586740.CDS.1	CUL4A_HUMAN
FR34087568.CDS.1	CUL4B_HUMAN
XK674337.CDS.1	CUL5_HUMAN
DO168276.CDS.1	CUL7_HUMAN
IF330241	CUL9_HUMAN
XC408834.CDS.1	CUTA_HUMAN
HR37708937.CDS.1	CUTC_HUMAN
OO99680306.CDS.1	CUX1_HUMAN
ZT04962351.CDS.1	CUX2_HUMAN
E11963.CDS.2	CUZD1_HUMAN
L00084.CDS.1	CV015_HUMAN
YM92868774.CDS.1	CV024_HUMAN
DB96444840.CDS.1	CV031_HUMAN
XA611906.CDS.1	CV034_HUMAN
IN672129.CDS.2	CV037_HUMAN
DQ02685005.CDS.1	CV039_HUMAN
TX03930528.CDS.1	CV042_HUMAN
RG222259.CDS.2	CV046_HUMAN
F38851.CDS.2	CWC15_HUMAN
AO24007124	CWC22_HUMAN
AJ781104.CDS.1	CWC25_HUMAN
BR12899293.CDS.3	CWC27_HUMAN
H86248.CDS.1	CX001_HUMAN
OM41900708.CDS.2	CX021_HUMAN
DM175523.CDS.1	CX024_HUMAN
NK82938749.CDS.1	CX028_HUMAN
CZ908235.CDS.1	CX031_HUMAN
AD374833.CDS.3	CX038_HUMAN
UA05040963.CDS.3	CX042_HUMAN
R30595.CDS.1	CX049_HUMAN
BL097376.CDS.1	CX04A_HUMAN
NP41436730.CDS.2	CX04B_HUMAN
BE75402178.CDS.2	CX056_HUMAN
ER422395.CDS.1	CX058_HUMAN
OO12642816.CDS.1	CX05A_HUMAN
TF39500632	CX05B_HUMAN
XG20290584.CDS.1	CX062_HUMAN
FW367546	CX065_HUMAN
WA844695.CDS.1	CX066_HUMAN
DF10588848.CDS.1	CX3C1_HUMAN
EX59314888.CDS.2	CX6A1_HUMAN
NG02258343.CDS.1	CX6A2_HUMAN
CE94767572.CDS.1	CX6B1_HUMAN
K68969.CDS.3	CX6B2_HUMAN
PD389524.CDS.1	CX7A1_HUMAN
X02354.CDS.3	CX7A2_HUMAN
SP54700900.CDS.1	CX7B2_HUMAN
LB588094.CDS.3	CXA10_HUMAN
AY03475549.CDS.1	CXA1_HUMAN
SR23744552.CDS.2	CXA3_HUMAN
ZU111696.CDS.1	CXA4_HUMAN
WL470991.CDS.1	CXA5_HUMAN
BT46790481.CDS.1	CXA8_HUMAN
UM26750349.CDS.2	CXA9_HUMAN
HL02884475.CDS.1	CXAR_HUMAN
NK52636658.CDS.1	CXB1_HUMAN
GG722160.CDS.1	CXB2_HUMAN
BE27527578.CDS.3	CXB3_HUMAN
Y53789.CDS.2	CXB4_HUMAN
OP164708.CDS.1	CXB5_HUMAN
